run_id,experiment_tag,timestamp_s,sample_kind,track_id,detector_track_id,source,source_label,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,confidence,distance_m,bbox_area_px,inbound,last_observed_age_s,prediction_horizon_s,position_uncertainty_m,velocity_uncertainty_mps
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.531499147,target_map,1,1,0,detected,3.154106,3.894563,0.209058,-0.007538,-0.006944,-0.000801,0.616184,15.335760,479.750,0,0.034740,0.000000,0.162159,0.358685
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.531499147,target_map,2,2,0,detected,0.522485,-2.537040,0.269233,0.022390,-0.010146,-0.007182,0.509211,12.700358,312.000,0,0.034740,0.000000,0.162159,0.358685
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.616836786,raw,1,1,0,detected,3.171745,3.901297,0.214312,0.140178,0.052371,0.042152,0.626953,15.354197,475.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.616836786,raw,2,2,0,detected,0.512641,-2.533645,0.273204,-0.073132,0.024540,0.030020,0.542969,12.690906,331.500,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.630777121,target_map,1,1,0,detected,3.172529,3.901570,0.214554,0.073706,0.025679,0.022823,0.625287,15.354197,475.000,0,0.010632,0.000000,0.153721,0.352658
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.630777121,target_map,2,2,0,detected,0.512320,-2.533550,0.273346,-0.030147,0.008931,0.013279,0.541526,12.690906,331.500,1,0.010632,0.000000,0.153721,0.352658
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.731837273,target_map,1,1,0,detected,3.179976,3.904164,0.216860,0.073706,0.025679,0.022823,0.609449,15.354197,475.000,0,0.111677,0.000000,0.189087,0.377919
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.731837273,target_map,2,2,0,detected,0.509274,-2.532648,0.274687,-0.030147,0.008931,0.013279,0.527809,12.690906,331.500,1,0.111677,0.000000,0.189087,0.377919
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.754433393,raw,1,1,0,detected,3.153226,3.893102,0.204404,-0.134596,-0.059557,-0.072007,0.636230,15.334262,515.000,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_200257_514_milestone4,milestone4,1787454177.754433393,raw,2,2,0,detected,0.591954,-2.555777,0.270723,0.576439,-0.160852,-0.018034,0.510742,12.773210,312.000,0,0.000000,0.000000,0.000000,0.000000
