run_id,experiment_tag,timestamp_s,sample_kind,track_id,source,source_label,x_m,y_m,z_m,cleaned_x_m,cleaned_y_m,cleaned_z_m,confidence,position_uncertainty_m
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.000000000,target_map,6,0,detected,-11.412416,0.466122,1.848848,-11.413472,0.463460,1.851750,0.507660,0.155784
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.098653316,target_map,6,0,detected,-11.413463,0.463483,1.851726,-11.414488,0.461482,1.854040,0.495088,0.190310
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.199811935,target_map,6,0,detected,-11.414537,0.460776,1.854676,-11.415390,0.459653,1.856136,0.482197,0.225712
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.298633814,target_map,6,0,detected,-11.417538,0.455548,1.860911,-11.416991,0.456268,1.859975,0.499006,0.179550
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.400382042,target_map,6,0,detected,-11.418998,0.452334,1.864522,-11.419496,0.452455,1.864774,0.486039,0.215162
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.499557018,target_map,6,2,predicted,-11.420421,0.449201,1.868041,-11.422205,0.448497,1.869827,0.473401,0.249871
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.598556757,target_map,6,0,detected,-11.425985,0.444416,1.875721,-11.426576,0.443517,1.876871,0.498691,0.180416
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.698541641,target_map,6,0,detected,-11.428083,0.440989,1.879939,-11.431453,0.438211,1.884529,0.485948,0.215412
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.798672915,target_map,6,1,held,-11.439393,0.430647,1.896133,-11.435797,0.433645,1.891035,0.473101,0.164925
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,0.898852348,target_map,6,1,held,-11.443382,0.425801,1.902809,-11.439576,0.429327,1.896916,0.460335,0.199983
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1.000193834,target_map,6,1,held,-11.442140,0.426372,1.900573,-11.443493,0.424974,1.902880,0.447738,0.152656
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1.098663330,target_map,6,1,held,-11.444882,0.422826,1.905129,-11.445101,0.422208,1.905907,0.435190,0.187118
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1.198652029,target_map,6,1,held,-11.447669,0.419224,1.909756,-11.446346,0.419738,1.908400,0.422447,0.222114
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1.298754215,target_map,6,0,detected,-11.447431,0.416819,1.911268,-11.448276,0.416479,1.912143,0.499435,0.178372
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1.399526596,target_map,6,0,detected,-11.449608,0.413451,1.915273,-11.450082,0.413273,1.915755,0.486592,0.213642
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1.500573635,target_map,6,2,predicted,-11.451792,0.410075,1.919288,-11.451761,0.410121,1.919233,0.473714,0.249010
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1.598723173,target_map,6,2,predicted,-11.453912,0.406795,1.923188,-11.453922,0.406779,1.923208,0.461207,0.283360
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1.698372841,target_map,6,2,predicted,-11.456065,0.403465,1.927149,-11.456079,0.403443,1.927175,0.448506,0.318240
