run_id,experiment_tag,timestamp_s,sample_kind,track_id,detector_track_id,source,source_label,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,confidence,distance_m,bbox_area_px,inbound,last_observed_age_s,prediction_horizon_s,position_uncertainty_m,velocity_uncertainty_mps
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.360361099,raw,1,1,0,detected,2.023290,3.502532,0.253895,0.177350,0.076800,-0.021935,0.503906,13.663852,279.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.374820948,target_map,1,1,0,detected,2.023670,3.502774,0.254010,0.039844,0.025355,0.012039,0.502704,13.663852,279.000,0,0.009543,0.000000,0.153340,0.352386
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.374820948,target_map,2,3,2,predicted,-2.622303,1.348302,0.254545,-0.078086,-0.000568,-0.001478,0.223556,8.942363,4077.875,1,2.681517,2.681517,1.088531,1.020379
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.480362177,target_map,1,1,0,detected,2.027875,3.505450,0.255280,0.039844,0.025355,0.012039,0.489410,13.663852,279.000,0,0.115074,0.000000,0.190276,0.378769
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.480362177,target_map,2,3,2,predicted,-2.630544,1.348242,0.254389,-0.078086,-0.000568,-0.001478,0.205663,8.942363,4077.875,1,2.787048,2.787048,1.125467,1.046762
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.571244001,raw,1,1,0,detected,2.014111,3.494865,0.258275,-0.043524,-0.036356,0.020771,0.488525,13.653272,275.125,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.575972795,target_map,1,1,0,detected,2.014101,3.494851,0.258302,-0.006008,-0.008586,0.016841,0.488330,13.653272,275.125,1,0.001600,0.000000,0.150560,0.350400
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.575972795,target_map,2,3,2,predicted,-2.638011,1.348188,0.254247,-0.078086,-0.000568,-0.001478,0.189448,8.942363,4077.875,1,2.882681,2.882681,1.158938,1.070670
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.674919367,target_map,1,1,0,detected,2.013507,3.494002,0.259968,-0.006008,-0.008586,0.016841,0.476247,13.653272,275.125,1,0.100535,0.000000,0.185187,0.375134
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.674919367,target_map,2,3,2,predicted,-2.645737,1.348131,0.254101,-0.078086,-0.000568,-0.001478,0.172673,8.942363,4077.875,1,2.981616,2.981616,1.193565,1.095404
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.705979586,raw,1,1,0,detected,1.985617,3.486618,0.245682,-0.211404,-0.061185,-0.093433,0.491455,13.623577,271.250,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.775234222,target_map,1,1,0,detected,1.977739,3.484134,0.242781,-0.118976,-0.037515,-0.043810,0.483320,13.623577,271.250,1,0.066212,0.000000,0.173174,0.366553
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.775234222,target_map,2,3,2,predicted,-2.653568,1.348074,0.253953,-0.078086,-0.000568,-0.001478,0.155667,8.942363,4077.875,1,3.081911,3.081911,1.228669,1.120478
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.820058346,raw,1,1,0,detected,1.952544,3.482947,0.252410,-0.290061,-0.032201,0.059012,0.487549,13.590549,271.250,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.875646353,target_map,1,1,0,detected,1.941236,3.481111,0.253087,-0.213073,-0.034592,0.012742,0.481080,13.590549,271.250,1,0.053071,0.000000,0.168575,0.363268
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.875646353,target_map,2,3,2,predicted,-2.661411,1.348017,0.253805,-0.078086,-0.000568,-0.001478,0.138639,8.942363,4077.875,1,3.182341,3.182341,1.263819,1.145585
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.975036621,target_map,1,1,0,detected,1.920059,3.477673,0.254353,-0.213073,-0.034592,0.012742,0.468966,13.590549,271.250,1,0.152459,0.000000,0.203361,0.388115
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.975036621,target_map,2,3,2,predicted,-2.669171,1.347961,0.253658,-0.078086,-0.000568,-0.001478,0.121787,8.942363,4077.875,1,3.281729,3.281729,1.298605,1.170432
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454770.981164694,raw,1,1,0,detected,2.021328,3.498303,0.252603,0.426894,0.095303,0.001197,0.485352,13.661040,262.500,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.075154305,target_map,1,1,0,detected,2.031101,3.500895,0.253053,0.138909,0.036850,0.006393,0.476815,13.661040,262.500,0,0.070354,0.000000,0.174624,0.367589
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.075154305,target_map,2,3,2,predicted,-2.676989,1.347904,0.253510,-0.078086,-0.000568,-0.001478,0.104811,8.942363,4077.875,1,3.381848,3.381848,1.333647,1.195462
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.174996138,target_map,1,1,0,detected,2.044970,3.504575,0.253691,0.138909,0.036850,0.006393,0.464701,13.661040,262.500,0,0.170195,0.000000,0.209568,0.392549
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.174996138,target_map,2,3,2,predicted,-2.684785,1.347848,0.253362,-0.078086,-0.000568,-0.001478,0.087883,8.942363,4077.875,1,3.481688,3.481688,1.368591,1.220422
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.274725914,target_map,1,1,2,predicted,2.058825,3.508250,0.254329,0.138909,0.036850,0.006393,0.452598,13.661040,262.500,0,0.269933,0.269933,0.244477,0.417483
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.274725914,target_map,2,3,2,predicted,-2.692573,1.347791,0.253215,-0.078086,-0.000568,-0.001478,0.070971,8.942363,4077.875,1,3.581427,3.581427,1.403499,1.245357
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.302836895,raw,1,1,0,detected,2.015718,3.500950,0.238760,-0.017443,0.008232,-0.043039,0.493164,13.655944,262.500,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.374760628,target_map,1,1,0,detected,2.019319,3.502387,0.237344,0.052916,0.021110,-0.020795,0.484774,13.655944,262.500,0,0.068052,0.000000,0.173818,0.367013
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.374760628,target_map,2,3,2,predicted,-2.700384,1.347734,0.253067,-0.078086,-0.000568,-0.001478,0.054010,8.942363,4077.875,1,3.681459,3.681459,1.438511,1.270365
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.475033045,target_map,1,1,0,detected,2.024625,3.504503,0.235259,0.052916,0.021110,-0.020795,0.472412,13.655944,262.500,0,0.168319,0.000000,0.208912,0.392080
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.475033045,target_map,2,3,2,predicted,-2.708214,1.347677,0.252919,-0.078086,-0.000568,-0.001478,0.037010,8.942363,4077.875,1,3.781726,3.781726,1.473604,1.295432
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.563214540,raw,1,1,0,detected,2.061970,3.508573,0.251020,0.177632,0.029274,0.047085,0.491455,13.702913,271.250,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.574715376,target_map,1,1,0,detected,2.063066,3.508804,0.251169,0.121510,0.025600,0.016539,0.490347,13.702913,271.250,0,0.009022,0.000000,0.153158,0.352255
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.574715376,target_map,2,3,2,predicted,-2.715998,1.347621,0.252771,-0.078086,-0.000568,-0.001478,0.020106,8.942363,4077.875,1,3.881418,3.881418,1.508496,1.320355
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.674774408,target_map,1,1,0,detected,2.075224,3.511365,0.252824,0.121510,0.025600,0.016539,0.478054,13.702913,271.250,0,0.109076,0.000000,0.188177,0.377269
tracking_cdrone3_20260822_201250_360_milestone4,milestone4,1787454771.674774408,target_map,2,3,2,predicted,-2.723811,1.347564,0.252623,-0.078086,-0.000568,-0.001478,0.003141,8.942363,4077.875,1,3.981472,3.981472,1.543515,1.345368
