run_id,experiment_tag,timestamp_s,sample_kind,track_id,detector_track_id,source,source_label,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,confidence,distance_m,bbox_area_px,inbound,last_observed_age_s,prediction_horizon_s,position_uncertainty_m,velocity_uncertainty_mps
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.021614790,raw,115,115,0,detected,4.122398,1.384632,1.212228,0.952191,0.770933,0.333942,0.619629,16.074453,460.750,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.035755873,target_map,53,115,0,detected,4.127490,1.391852,1.217780,0.442089,0.626968,0.482089,0.617845,16.074453,460.750,0,0.011516,0.000000,0.154031,0.352879
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.135772228,target_map,53,115,0,detected,4.171702,1.454554,1.265993,0.442089,0.626968,0.482089,0.602353,16.074453,460.750,0,0.111525,0.000000,0.189034,0.377881
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.149897337,raw,115,115,0,detected,-11.782247,-0.527490,0.093971,-123.990349,-14.906628,-8.717774,0.417725,0.016318,488.250,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.235820770,target_map,53,115,0,detected,-12.113235,-0.546733,0.086851,-4.158997,-0.241793,-0.089467,0.409414,0.016318,488.250,1,0.079584,0.000000,0.177854,0.369896
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.271129131,raw,115,115,0,detected,-11.781759,-0.527335,0.093982,0.004014,0.001278,0.000093,0.417725,0.016826,488.250,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.335839748,target_map,53,115,0,detected,-11.891185,-0.533663,0.091629,-1.869341,-0.108104,-0.040209,0.411612,0.016826,488.250,0,0.058537,0.000000,0.170488,0.364634
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.382363796,raw,115,115,0,detected,-11.779183,-0.526811,0.093992,0.023159,0.004712,0.000089,0.417725,0.019419,488.250,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.435747147,target_map,53,115,0,detected,-11.819374,-0.529045,0.093117,-0.828466,-0.046055,-0.018045,0.412658,0.019419,488.250,0,0.048512,0.000000,0.166979,0.362128
tracking_cdrone3_20260822_222648_959_milestone4,milestone4,1787462809.490839005,raw,115,115,0,detected,-11.780197,-0.526936,0.093961,-0.009347,-0.001154,-0.000291,0.417725,0.018430,488.250,0,0.000000,0.000000,0.000000,0.000000
