run_id,experiment_tag,timestamp_s,sample_kind,track_id,detector_track_id,source,source_label,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,confidence,distance_m,bbox_area_px,inbound,last_observed_age_s,prediction_horizon_s,position_uncertainty_m,velocity_uncertainty_mps
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.031667233,target_map,1,1,0,detected,-2.218160,-0.568464,0.125367,-0.033429,-0.007777,-0.003374,0.766491,9.535446,988.000,1,0.128796,0.000000,0.195079,0.382199
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.107391357,raw,1,1,0,detected,-2.242081,-0.560512,0.119792,-0.135218,0.033291,-0.028789,0.792969,9.507128,1007.000,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.134133816,target_map,1,1,0,detected,-2.243931,-0.560206,0.119433,-0.089413,0.014811,-0.017352,0.788869,9.507128,1007.000,1,0.020681,0.000000,0.157238,0.355170
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.231940746,target_map,1,1,0,detected,-2.252675,-0.558758,0.117736,-0.089413,0.014811,-0.017352,0.769482,9.507128,1007.000,1,0.118475,0.000000,0.191466,0.379619
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.276521206,raw,1,1,0,detected,-2.225273,-0.565069,0.121632,0.099384,-0.026940,0.010879,0.791504,9.524001,969.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.330853462,target_map,1,1,0,detected,-2.224718,-0.565382,0.121562,0.014426,-0.008152,-0.001825,0.783893,9.524001,969.000,0,0.038461,0.000000,0.163462,0.359615
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.424210072,raw,1,1,0,detected,-2.230956,-0.566900,0.122336,-0.038481,-0.012404,0.004766,0.791504,9.518327,1026.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.432071924,target_map,1,1,0,detected,-2.231010,-0.566939,0.122343,-0.014673,-0.010490,0.001800,0.790777,9.518327,1026.000,0,0.003671,0.000000,0.151285,0.350918
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.530409098,target_map,1,1,0,detected,-2.232453,-0.567970,0.122520,-0.014673,-0.010490,0.001800,0.771320,9.518327,1026.000,0,0.102002,0.000000,0.185701,0.375501
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.548038721,raw,1,1,0,detected,-2.248933,-0.566039,0.124927,-0.145173,0.006955,0.020921,0.789062,9.500374,969.000,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.630420685,target_map,1,1,0,detected,-2.255452,-0.566107,0.125855,-0.086448,-0.000895,0.012317,0.774188,9.500374,969.000,1,0.075406,0.000000,0.176392,0.368851
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.730625629,target_map,1,1,0,detected,-2.264114,-0.566196,0.127090,-0.086448,-0.000895,0.012317,0.754421,9.500374,969.000,1,0.175610,0.000000,0.211464,0.393903
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.748615503,raw,1,1,0,detected,-2.230920,-0.565490,0.121652,0.089807,0.002737,-0.016326,0.798828,9.518373,1039.500,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.830493450,target_map,1,1,0,detected,-2.230086,-0.565403,0.121379,0.010492,0.001102,-0.003437,0.782967,9.518373,1039.500,0,0.079420,0.000000,0.177797,0.369855
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423130.930377245,target_map,1,1,0,detected,-2.229038,-0.565293,0.121036,0.010492,0.001102,-0.003437,0.763017,9.518373,1039.500,0,0.179316,0.000000,0.212761,0.394829
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.027436256,raw,1,1,0,detected,-2.224427,-0.565324,0.124137,0.023289,0.000594,0.008913,0.792480,9.524886,993.750,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.032281637,target_map,1,1,2,predicted,-2.227969,-0.565180,0.120686,0.010492,0.001102,-0.003437,0.742669,9.518373,1039.500,0,0.281207,0.281207,0.248422,0.420302
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.130418539,target_map,1,1,0,detected,-2.222776,-0.565247,0.124453,0.017530,0.000823,0.003356,0.773825,9.524886,993.750,0,0.094164,0.000000,0.182957,0.373541
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.230431795,target_map,1,1,0,detected,-2.221023,-0.565165,0.124789,0.017530,0.000823,0.003356,0.754011,9.524886,993.750,0,0.194173,0.000000,0.217961,0.398543
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.296465874,raw,1,1,0,detected,-2.484783,-0.560976,0.119005,-0.967733,0.016164,-0.019074,0.790039,9.264471,956.250,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.330402851,target_map,1,1,0,detected,-2.500315,-0.560701,0.118739,-0.524365,0.009261,-0.008981,0.784189,9.264471,956.250,1,0.029621,0.000000,0.160367,0.357405
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.430423737,target_map,1,1,0,detected,-2.552757,-0.559775,0.117841,-0.524365,0.009261,-0.008981,0.764436,9.264471,956.250,1,0.129631,0.000000,0.195371,0.382408
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.530420303,target_map,1,1,0,detected,-2.605195,-0.558849,0.116943,-0.524365,0.009261,-0.008981,0.744684,9.264471,956.250,1,0.229633,0.000000,0.230371,0.407408
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.557108164,raw,1,1,0,detected,-2.242224,-0.568824,0.127601,0.930613,-0.030112,0.032978,0.793945,9.507080,981.750,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.630313396,target_map,1,1,0,detected,-2.224066,-0.569640,0.128529,0.275873,-0.012394,0.014096,0.780881,9.507080,981.750,0,0.065818,0.000000,0.173036,0.366455
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.730454445,target_map,1,1,0,detected,-2.196443,-0.570881,0.129940,0.275873,-0.012394,0.014096,0.761006,9.507080,981.750,0,0.165950,0.000000,0.208083,0.391488
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.806899786,raw,1,1,0,detected,-2.245961,-0.559698,0.117802,-0.014964,0.036535,-0.039228,0.790527,9.503238,1026.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.830374002,target_map,1,1,0,detected,-2.244981,-0.559576,0.117673,0.115913,0.014517,-0.015232,0.788855,9.503238,1026.000,0,0.008461,0.000000,0.152961,0.352115
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423131.930420637,target_map,1,1,0,detected,-2.233385,-0.558123,0.116150,0.115913,0.014517,-0.015232,0.769084,9.503238,1026.000,0,0.108501,0.000000,0.187975,0.377125
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.030296564,target_map,1,1,0,detected,-2.221808,-0.556674,0.114628,0.115913,0.014517,-0.015232,0.749346,9.503238,1026.000,0,0.208374,0.000000,0.222931,0.402093
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.118484020,raw,1,1,0,detected,-2.253189,-0.567823,0.122405,-0.023196,-0.026074,0.014771,0.795410,9.496131,1007.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.130421638,target_map,1,1,0,detected,-2.252962,-0.567868,0.122412,0.039403,-0.007808,0.001269,0.794263,9.496131,1007.000,0,0.005769,0.000000,0.152019,0.351442
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.230426550,target_map,1,1,0,detected,-2.249021,-0.568649,0.122539,0.039403,-0.007808,0.001269,0.774377,9.496131,1007.000,0,0.105773,0.000000,0.187021,0.376443
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.330543280,target_map,1,1,0,detected,-2.245077,-0.569430,0.122666,0.039403,-0.007808,0.001269,0.754473,9.496131,1007.000,0,0.205866,0.000000,0.222053,0.401467
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.368793964,raw,1,1,0,detected,-2.275011,-0.554981,0.116391,-0.087181,0.051304,-0.024027,0.791504,9.474155,1007.000,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.430407047,target_map,1,1,0,detected,-2.276715,-0.553588,0.115678,-0.030218,0.024704,-0.012643,0.780346,9.474155,1007.000,1,0.056386,0.000000,0.169735,0.364096
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.530367613,target_map,1,1,0,detected,-2.279735,-0.551119,0.114414,-0.030218,0.024704,-0.012643,0.760569,9.474155,1007.000,1,0.156334,0.000000,0.204717,0.389083
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.625964403,raw,1,1,0,detected,-2.228436,-0.563780,0.122168,0.181103,-0.034214,0.022465,0.787109,9.520835,1007.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.631570816,target_map,1,1,2,predicted,-2.282794,-0.548619,0.113134,-0.030218,0.024704,-0.012643,0.740543,9.474155,1007.000,1,0.257540,0.257540,0.240139,0.414385
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.730386734,target_map,1,1,0,detected,-2.220775,-0.564466,0.122762,0.086008,-0.007701,0.006666,0.769581,9.520835,1007.000,0,0.089080,0.000000,0.181178,0.372270
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.830397367,target_map,1,1,0,detected,-2.212173,-0.565236,0.123429,0.086008,-0.007701,0.006666,0.749901,9.520835,1007.000,0,0.189089,0.000000,0.216181,0.397272
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.849853754,raw,1,1,0,detected,-2.189096,-0.556824,0.125511,0.175717,0.031070,0.014929,0.785645,9.560106,943.500,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423132.930420160,target_map,1,1,0,detected,-2.179570,-0.555865,0.126300,0.135348,0.013623,0.011211,0.771822,9.560106,943.500,0,0.070376,0.000000,0.174631,0.367594
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.030483246,target_map,1,1,0,detected,-2.166029,-0.554502,0.127421,0.135348,0.013623,0.011211,0.752171,9.560106,943.500,0,0.170425,0.000000,0.209649,0.392606
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.092566967,raw,1,1,0,detected,-2.143930,-0.602153,0.126433,0.186066,-0.186738,0.003802,0.784668,9.605924,981.750,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.130396366,target_map,1,1,0,detected,-2.138348,-0.605455,0.126677,0.163243,-0.096575,0.007136,0.777960,9.605924,981.750,0,0.034194,0.000000,0.161968,0.358548
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.230405092,target_map,1,1,0,detected,-2.122022,-0.615113,0.127391,0.163243,-0.096575,0.007136,0.758342,9.605924,981.750,0,0.134202,0.000000,0.196971,0.383550
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.330604315,target_map,1,1,0,detected,-2.105666,-0.624790,0.128106,0.163243,-0.096575,0.007136,0.738687,9.605924,981.750,0,0.234399,0.000000,0.232040,0.408600
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.368253708,raw,1,1,0,detected,-2.403506,-0.563927,0.111841,-0.941661,0.138671,-0.052936,0.786621,9.345796,975.000,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.430371284,target_map,1,1,0,detected,-2.429865,-0.561981,0.110305,-0.444454,0.032810,-0.025904,0.774958,9.345796,975.000,1,0.059306,0.000000,0.170757,0.364826
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.530419111,target_map,1,1,0,detected,-2.474331,-0.558698,0.107713,-0.444454,0.032810,-0.025904,0.755284,9.345796,975.000,1,0.159352,0.000000,0.205773,0.389838
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.624226093,raw,1,1,0,detected,-2.336102,-0.554926,0.079503,0.263320,0.035160,-0.126330,0.799805,9.412813,918.750,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.631659269,target_map,1,1,2,predicted,-2.519326,-0.555377,0.105091,-0.444454,0.032810,-0.025904,0.735375,9.345796,975.000,1,0.260588,0.260588,0.241206,0.415147
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.730314970,target_map,1,1,0,detected,-2.341010,-0.551893,0.072287,-0.055179,0.034103,-0.081138,0.782020,9.412813,918.750,0,0.088943,0.000000,0.181130,0.372236
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.830435276,target_map,1,1,0,detected,-2.346534,-0.548479,0.064163,-0.055179,0.034103,-0.081138,0.762001,9.412813,918.750,0,0.189066,0.000000,0.216173,0.397266
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.875126362,raw,1,1,0,detected,-2.389270,-0.567784,0.110746,-0.211535,-0.051157,0.124299,0.801270,9.359995,1001.000,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423133.930337667,target_map,1,1,0,detected,-2.396363,-0.568427,0.112346,-0.141174,-0.012790,0.031853,0.791206,9.359995,1001.000,1,0.050239,0.000000,0.167584,0.362560
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.030399323,target_map,1,1,0,detected,-2.410488,-0.569707,0.115533,-0.141174,-0.012790,0.031853,0.771163,9.359995,1001.000,1,0.150296,0.000000,0.202604,0.387574
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.130419731,target_map,1,1,2,predicted,-2.424609,-0.570986,0.118719,-0.141174,-0.012790,0.031853,0.751126,9.359995,1001.000,1,0.250322,0.250322,0.237613,0.412580
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.134974003,raw,1,1,0,detected,-2.118156,-0.570458,0.121976,1.045207,-0.010308,0.043296,0.814453,9.631246,931.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.230436802,target_map,1,1,0,detected,-2.071016,-0.571512,0.125493,0.511336,-0.011425,0.038147,0.795682,9.631246,931.000,0,0.092190,0.000000,0.182267,0.373048
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.330452681,target_map,1,1,0,detected,-2.019878,-0.572654,0.129308,0.511336,-0.011425,0.038147,0.775319,9.631246,931.000,0,0.192198,0.000000,0.217269,0.398050
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.398465872,raw,1,1,0,detected,-2.106356,-0.556087,0.099690,0.044782,0.054538,-0.084574,0.792969,9.642705,950.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.430410385,target_map,1,1,0,detected,-2.100260,-0.555492,0.098988,0.254731,0.024855,-0.029350,0.788225,9.642705,950.000,0,0.023931,0.000000,0.158376,0.355983
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.530358553,target_map,1,1,0,detected,-2.074801,-0.553008,0.096055,0.254731,0.024855,-0.029350,0.768411,9.642705,950.000,0,0.123876,0.000000,0.193356,0.380969
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.630390882,target_map,1,1,0,detected,-2.049319,-0.550522,0.093119,0.254731,0.024855,-0.029350,0.748580,9.642705,950.000,0,0.223912,0.000000,0.228369,0.405978
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.646381378,raw,1,1,0,detected,-2.270707,-0.536517,0.105394,-0.662965,0.078943,0.023008,0.753906,9.478109,854.250,1,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.730414391,target_map,1,1,0,detected,-2.289873,-0.532331,0.105352,-0.250002,0.054603,-0.000553,0.739457,9.478109,854.250,1,0.076662,0.000000,0.176832,0.369165
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.830449104,target_map,1,1,0,detected,-2.314881,-0.526869,0.105296,-0.250002,0.054603,-0.000553,0.720603,9.478109,854.250,1,0.176695,0.000000,0.211843,0.394174
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.920590878,raw,1,1,0,detected,-2.084148,-0.520320,0.061250,0.680349,0.059066,-0.160987,0.787598,9.664644,799.000,0,0.000000,0.000000,0.000000,0.000000
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423134.930111885,target_map,1,1,0,detected,-2.083494,-0.520178,0.061028,0.261691,0.057058,-0.088792,0.787106,9.664644,799.000,0,0.002499,0.000000,0.150875,0.350625
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423135.030402422,target_map,1,1,0,detected,-2.057253,-0.514456,0.052124,0.261691,0.057058,-0.088792,0.767361,9.664644,799.000,0,0.102775,0.000000,0.185971,0.375694
tracking_cdrone3_20260822_112530_019_milestone4,milestone4,1787423135.130467892,target_map,1,1,0,detected,-2.031067,-0.508747,0.043239,0.261691,0.057058,-0.088792,0.747659,9.664644,799.000,0,0.202840,0.000000,0.220994,0.400710
