run_id,experiment_tag,timestamp_s,sample_kind,track_id,source,source_label,x_m,y_m,z_m,cleaned_x_m,cleaned_y_m,cleaned_z_m,confidence,position_uncertainty_m
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.000000000,target_map,16,0,detected,-4.132641,-1.256980,0.298484,1.032044,1.448084,1.114949,0.762745,0.175429
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.100174427,target_map,16,0,detected,-4.132641,-1.256980,0.298484,3.710780,2.851103,1.538420,0.743280,0.210507
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.200104952,target_map,16,0,detected,11.361415,6.858211,2.747879,5.395246,3.733361,1.804711,0.683321,0.153551
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.299974680,target_map,16,0,detected,11.746988,7.060159,2.808833,8.638234,5.492640,2.252525,0.666214,0.188512
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.400022268,target_map,16,0,detected,12.133107,7.262393,2.869873,11.942052,7.294558,2.698441,0.649082,0.223522
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.500813961,target_map,16,0,detected,12.082303,7.539414,2.537554,12.208351,7.516404,2.652567,0.837742,0.153503
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.600013733,target_map,16,0,detected,12.386445,7.752613,2.528067,10.490283,6.636906,2.312332,0.816916,0.188221
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.699970007,target_map,16,0,detected,12.692911,7.967440,2.518507,8.646117,5.694495,1.946815,0.795930,0.223204
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.800108671,target_map,16,0,detected,3.156647,2.662670,1.107659,6.763290,4.674236,1.634702,0.795875,0.163650
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,0.900121212,target_map,16,0,detected,2.912280,2.550336,1.042290,4.915991,3.665120,1.403460,0.775781,0.198652
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.000030041,target_map,16,0,detected,2.668166,2.438118,0.976989,2.984974,2.604444,1.177739,0.755707,0.233619
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.100490570,target_map,16,0,detected,3.149952,2.707036,1.371857,2.975678,2.590816,1.207829,0.844599,0.177969
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.200142145,target_map,16,0,detected,3.037825,2.664060,1.389901,3.000247,2.589980,1.248562,0.823128,0.212848
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.300178766,target_map,16,0,detected,3.110168,2.594529,1.258107,3.058645,2.601922,1.299928,0.885014,0.155763
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.400055885,target_map,16,0,detected,3.035125,2.546156,1.245957,3.043184,2.565818,1.238387,0.862823,0.190721
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.499841452,target_map,16,0,detected,2.960152,2.497828,1.233818,3.042031,2.531460,1.164991,0.840653,0.225648
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.599957228,target_map,16,0,detected,3.072648,2.526517,1.064154,3.018305,2.504169,1.109721,0.868714,0.163924
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.700125933,target_map,16,0,detected,3.032060,2.492269,1.022921,2.950710,2.467435,1.089117,0.846742,0.198982
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.800129175,target_map,16,0,detected,2.991539,2.458077,0.981756,2.881042,2.431353,1.069833,0.824806,0.233982
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,1.900186062,target_map,16,0,detected,2.697149,2.362483,1.142936,2.857950,2.436170,1.134081,0.858838,0.171243
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,2.000199318,target_map,16,0,detected,2.611811,2.317421,1.137400,2.844060,2.450525,1.216039,0.837037,0.206241
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,2.101087809,target_map,16,0,detected,2.957192,2.550603,1.385391,2.839368,2.474431,1.315784,0.888436,0.150372
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,2.200140238,target_map,16,0,detected,2.962610,2.564042,1.432714,2.888086,2.518917,1.338724,0.866436,0.185030
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,2.300091743,target_map,16,0,detected,2.968077,2.577607,1.480480,2.953688,2.574887,1.361802,0.844231,0.220012
tracking_cdrone3_20260822_195142_952_milestone4,milestone4,2.400026798,target_map,16,0,detected,2.940737,2.584909,1.257637,2.950021,2.586855,1.334248,0.863765,0.163333
