run_id,experiment_tag,timestamp_s,sample_kind,track_id,source,source_label,x_m,y_m,z_m,cleaned_x_m,cleaned_y_m,cleaned_z_m,confidence,position_uncertainty_m
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.000000000,target_map,2,0,detected,-12.371832,-0.415673,1.477080,-12.374529,-0.420175,1.479465,0.556540,0.173199
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.100106955,target_map,2,0,detected,-12.371832,-0.415673,1.477080,-12.376306,-0.423139,1.481036,0.542378,0.208234
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.201177359,target_map,2,0,detected,-12.379924,-0.429179,1.484235,-12.377717,-0.425495,1.482284,0.564412,0.153726
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.300002575,target_map,2,0,detected,-12.381635,-0.432034,1.485748,-12.382983,-0.433651,1.486493,0.550432,0.188310
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.399711370,target_map,2,0,detected,-12.383362,-0.434916,1.487275,-12.389118,-0.443130,1.491381,0.536324,0.223211
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.500052452,target_map,2,0,detected,-12.398165,-0.456456,1.498128,-12.394504,-0.451232,1.495517,0.554272,0.178811
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.599996567,target_map,2,0,detected,-12.402505,-0.463066,1.501518,-12.400415,-0.460084,1.500028,0.540131,0.213793
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.700122595,target_map,2,2,predicted,-12.406854,-0.469689,1.504915,-12.406850,-0.469683,1.504912,0.525963,0.248844
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.799971342,target_map,2,2,predicted,-12.411189,-0.476292,1.508302,-12.411193,-0.476297,1.508304,0.511838,0.283785
tracking_cdrone3_20260822_110218_815_milestone4,milestone4,0.900136232,target_map,2,2,predicted,-12.415539,-0.482915,1.511699,-12.415535,-0.482910,1.511696,0.497670,0.318836
